Record ID;Nom de la prestation;Associated Company;Nom de domaine;Marques;Associated Company IDs
4025440499;Pack Standard : pharmacie-bellardie-perret.fr;Pharmacie Bellardie Perret;pharmacie-bellardie-perret.fr;"<div><div><div><div><div><div><div><div><div><div id="":3""><div id="":1""><div><div jsaction=""uqVD7e:.CLIENT"" role=""main""><div jsaction=""iE7Vzc:.CLIENT;v9KJX:.CLIENT""><div><div><div><div jslog=""20686; u014N:xr6bB; 1:WyIjdGhyZWFkLWE6cjkwMjU5MjEwMDYxNTg1MjI5MjYiXQ..; 4:W10."" role=""list""><div aria-expanded=""true"" tabindex=""-1"" role=""listitem"" jsaction=""RUzSf:.CLIENT""><div><div><div><div id="":qo""><div data-message-id=""#msg-f:1795777066051744061"" data-legacy-message-id=""18ebe1ba25ceb13d""><div><div><div id="":qr"" jslog=""20277; u014N:xr6bB; 1:WyIjdGhyZWFkLWE6cjkwMjU5MjEwMDYxNTg1MjI5MjYiXQ..; 4:WyIjbXNnLWY6MTc5NTc3NzA2NjA1MTc0NDA2MSJd""><div id="":qq""><div bgcolor=""#ffffff"" vlink=""#551A8B"" text=""windowtext"" link=""#0B6CDA"" alink=""#EE0000""><blockquote type=""cite""><div dir=""ltr""><div><div><div dir=""ltr""><div id=""m_-9161897048083478117m_-71016762797834359122660d9c3-42fd-4cc4-b20b-d962963d9ba0""><div id=""m_-9161897048083478117m_-7101676279783435912hubspot-template-container""><p><span>Aromathérapie :&nbsp;</span><span style=""color: #0080c0;""><span>phytosun aroms,LCA<br></span></span></p><p><span>Homéopathie :&nbsp;</span><span style=""color: #0080c0;""><span>Boiron,Lehning<br></span></span></p><p><span>Phytothérapie :<span style=""color: #0080c0;"">Dayang,Nat&amp;Form,Pharmanature,<wbr>Phytosun</span></span></p><p><span>Micro nutrition :&nbsp;</span><span style=""color: #0080c0;""><span>Pilèje<br></span></span></p><p><span>Matériel Médical :&nbsp;</span><span style=""color: #0080c0;""><span>Alcura<br></span></span></p><p><span>Orthopédie :&nbsp;</span><span style=""color: #0080c0;""><span>Thuasne,Lohmann,Orliman<br></span></span></p><p><span>Contention :&nbsp;</span><span style=""color: #0080c0;""><span>Innothera,Venoflex<br></span></span></p><p><span>Produits vétérinaires :&nbsp;</span><span style=""color: #0080c0;""><span>Clément Thekan,Elanco</span></span></p><p><span>Parapharmacie :</span><span style=""color: #0080c0;""><span>&nbsp;Avene, Roche Posay,Garancia,Klorane,Laino,<wbr>Le Comptoir du Bain, Beauterra</span></span></p><p>&nbsp;Bébé: mustela, klorane, novalac</p></div></div></div></div></div></div></blockquote><blockquote type=""cite""><div dir=""ltr""><div><div><div dir=""ltr""><div id=""m_-9161897048083478117m_-71016762797834359122660d9c3-42fd-4cc4-b20b-d962963d9ba0""><div id=""m_-9161897048083478117m_-7101676279783435912hubspot-template-container""><p><span>Hygiène intime :&nbsp;</span><span style=""color: #0080c0;""><span>Saforelle, Hydralin, Roge Cavailles,</span></span></p><p><span>Soins :</span><span style=""color: #0080c0;""><span>&nbsp;Cooper,Urgo, gilbert<br></span></span></p><p><span>Incontinence :&nbsp;</span><span style=""color: #0080c0;""><span>Tena, ID<br></span></span></p><p><span>Chaussures Orthopédiques :&nbsp;</span><span style=""color: #0080c0;""><span>Orliman<br></span></span></p><p><span>Compléments alimentaires :<span style=""color: #0080c0;"">delical</span></span></p><p><span>Produits Solaires :&nbsp;</span><span style=""color: #0080c0;""><span>Avene, Garancia<br></span></span></p><p><span>Autres :</span><span style=""color: #0080c0;""><span>&nbsp;horizane, epitact, compeed</span></span></p></div></div></div></div></div></div></blockquote></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div>";10460812761
4023436237;Pack Access : pharmacie-de-fontcouverte.fr;Pharmacie de Fontcouverte;pharmacie-de-fontcouverte.fr;<p>parapharmacie : avène, la roche posay, l'eau d'evaux, aromaker, bioderma, la rosée, roge cavailles, saforelle, upsa, sanofi, cooper</p><p><br>aromathérapie : olisma, naturactive, pranarom, phytosun aroms, arkopharma</p><p><br>phytothérapie : phytosun aroms, naturactive, nutergia, sante verte, herbalgem, vitavea,</p><p><br>homéopathie : boiron, lehning</p><p><br>location vente matériel médical : madouest, orkyn, handipharm</p><p><br>orthopédie : thuasne, gibaud, orliman, donjoy, innothera, radiante</p><p><br>produits vétérinaires : elanco, clement thekan, biocanina</p><p><br>nutrition du sportif : ea pharma</p><p><br>micronutrition : nutergia, ea pharma, pileje</p><p><br>produits bebe : pranarom, biolane, vitavea, hartmann</p>;10802755780
3968754126;Pack Standard : pharmacie-gagnaire-issoire.fr;Pharmacie Gagnaire - Issoire;pharmacie-gagnaire-issoire.fr;<p>Matériel médical : Orkyn</p><p>Orthopedie : lhoman,</p><p>Bas de contention : Innothera</p><p>Chaussure orthopédique : orliman</p><p>Parapharmacie :eucerin, svr, noreva, avene, roche posay, bioderma, a-derma, uriage, cerave, topi creme, lazartigue, respectueuse, caudalie, patyka, nuxe, klorane, onagrine, furterer, ducray, comptoir du bain, whatmatters, Roge cavailles, même</p><p>Oncologie : même</p><p>Coloration cheveux : eclae, 3 chênes,</p><p>Anti moustique : cinq sur cinq, insectes écran</p><p>Hygiène intime : saforelle, hydralin, saugella, clearblue</p><p>Cbd : remedeus, Boiron</p><p>Lait infantile : picot, novalac, gallia, enfamil, popote, physiolac, modilac, guigoz,</p><p>Produits bébés : lansinoh, mustella, bioderma, dexeryl, biolane, klorane, rivadouce, calmosine, pediakid, mam, joone, avent, medela</p><p>Tisane : panda tea,</p><p>Incontinence : confiance</p><p>Dénutrition : delical</p><p>Homeopathie : boiron</p><p>Sportif : apurna, akileine, isoxan</p><p>Micronutrition : nutergia, pileje</p><p>Complément alimentaire : biocyte</p><p>Phytothérapie : arkopharma, abocca</p><p>Aromatherapie : puressentiel, pranarom,</p><p>Fleur de Bach : fleur de Bach</p><p>Produit vétérinaire : Clement thekan, biocanina, frontline, bayer,</p>;10878454207
3965858751;Pack Access : pharmacie-du-faubourg-de-mons.fr;Pharmacie Du Faubourg De Mons;pharmacie-du-faubourg-de-mons.fr;<p>Idem que sur le site actuel avec les changement indiqué dans remarques</p>;8172021484
3949169909;Pack Premium : ilotvert.re;L'Ilot Vert;www.ilotvert.re;;10558338012
3948959187;Pack Access : pharmacie-cousin-loos.fr;Pharmacie Cousin;pharmacie-cousin-loos.fr;<p>Idem</p>;8172031179
3944226798;Pack Access : pharmacie-du-grand-chene.fr;Pharmacie du Grand Chêne - Douchy-les-mines;pharmacie-du-grand-chene.fr;"<p>A venir&nbsp;</p>";10890202866
3942365405;Pack Access : pharmaciesaintpierre-steenvoorde.fr;Pharmacie Saint-Pierre - Steenvoorde;pharmaciesaintpierre-steenvoorde.fr;"<p>A venir&nbsp;</p>";10890721735
3894642648;Pack Standard : pharmacie-nicolas-les-abrets.fr;Pharmacie Nicolas;pharmacie-nicolas-les-abrets.fr;"<p>Matériel médical : libeoz</p><p>Orthopedie : donjoy thuasne, epitact</p><p>Bas de contention : sigvaris,</p><p>Parapharmacie : Avene, La roche posay, même, caudalie, nuxe, la rosée, roger &amp; Gallet, uriage, cerave, bioderma, klorane, comptoir du bain, roge cavailles, dexeryl, etiaxil, ducray</p><p>Lait infantile : novalac, gallia</p><p>Produits bébés : mam, avent, mustela, biolane, machouyou, calmosine, inuwet, deglingos</p><p>Coloration cheveux : 3 chênes</p><p>Anti moustique et anti poux : cinq sur cinq, pouxit, puressentiel, paranix,</p><p>Coutellerie : vitry</p><p>Premiers soins : Poderm</p><p>Homeopathie : boiron</p><p>Tisane : chartreuse, yogi tea,</p><p>Fleur de Bach : Fleur de Bach</p><p>CBD : granions</p><p>Bouillotte : warmies,</p><p>Phytothérapie : arkopharma, aboca,</p><p>Aromatherapie : pranarom, puressentiel,</p><p>Complements alimentaires : hydratis</p><p>Micronutrition : pileje, nutergia, dynveo</p><p>Hygiène intime : saforelle, hydralin, clearblue, durex, saugella</p><p>Produit vétérinaire : biocanina, frontline,</p><p>Maquillage : même</p><p>Dénutrition : fortimel, fresubin</p><p>Incontinence : confiance</p>";10734939634
3879697645;Pack Standard : bioconsultants.fr;Bioconsultants;bioconsultants.fr;;8172021234
